Marital_status,Application_mode,Application_order,Course,Daytime/evening_attendance,Previous_qualification,Previous_qualification_(grade),Nationality,Mother's_qualification,Father's_qualification,Mother's_occupation,Father's_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_(credited),Curricular_units_1st_sem_(enrolled),Curricular_units_1st_sem_(evaluations),Curricular_units_1st_sem_(approved),Curricular_units_1st_sem_(grade),Curricular_units_1st_sem_(without_evaluations),Curricular_units_2nd_sem_(credited),Curricular_units_2nd_sem_(enrolled),Curricular_units_2nd_sem_(evaluations),Curricular_units_2nd_sem_(approved),Curricular_units_2nd_sem_(grade),Curricular_units_2nd_sem_(without_evaluations),Unemployment_rate,Inflation_rate,GDP,Age_enrollment_EW,Age_enrollment_EF,Target
0,2,1,11,1,0,122.0,0,9,7,5,3,119.6,1,0,0,1,0,0,20,0,0,1,4,5,13.42857143,0,0,1,5,3,129,0,9.4,-0.8,-3.12,0,1,1
0,0,0,8,1,0,142.0,0,6,8,7,10,128.4,1,0,0,1,0,1,18,0,0,2,5,6,13.3,0,0,3,3,6,464,0,15.5,2.8,-4.06,0,0,1
0,0,2,6,1,0,137.0,1,0,0,8,9,129.3,0,0,0,1,0,1,21,1,0,1,4,5,13.875,0,0,1,2,4,435,0,16.2,0.3,-0.92,0,2,1
0,0,0,6,1,0,138.0,0,0,5,4,7,123.0,1,0,1,0,0,0,18,0,0,1,5,4,11.4,0,0,1,9,0,329,0,8.9,1.4,3.51,0,0,0
0,0,0,10,1,0,139.0,0,9,5,5,7,130.6,1,0,0,1,0,0,18,0,0,1,2,5,12.33333333,0,0,1,2,3,442,0,13.9,-0.3,0.79,0,0,1
0,0,0,8,1,0,136.0,0,6,8,8,9,119.3,1,0,0,1,0,1,18,0,0,3,4,6,13.21428571,0,0,3,3,5,271,0,12.7,3.7,-1.7,0,0,1
0,0,0,2,1,0,149.0,0,9,7,5,5,137.1,1,0,0,1,0,1,18,0,0,0,3,3,13.25,0,0,0,0,3,81,0,10.8,1.4,1.74,0,0,1
0,3,0,6,1,0,137.0,0,6,8,5,8,137.4,1,0,0,1,0,0,18,0,0,1,6,0,12.0,0,0,1,9,0,18,0,10.8,1.4,1.74,0,0,2
0,2,1,8,1,0,135.0,0,6,0,5,4,127.3,1,0,0,1,0,0,18,0,0,2,4,6,13.30625,0,0,3,3,6,496,0,15.5,2.8,-4.06,0,0,1
0,0,0,4,1,0,137.0,0,2,5,3,5,136.3,1,0,0,1,0,0,20,0,0,0,4,3,12.5,1,0,0,3,2,111,2,10.8,1.4,1.74,0,1,1
0,0,0,12,1,0,140.0,0,6,5,7,7,124.6,1,0,0,1,0,0,18,0,0,2,3,5,11.66666667,0,0,2,3,4,329,0,16.2,0.3,-0.92,0,0,2
0,3,3,9,1,0,127.0,0,0,8,4,7,121.8,1,0,0,1,0,0,20,0,0,2,10,6,11.4375,0,0,3,4,6,33,0,12.7,3.7,-1.7,0,1,2
0,0,3,8,1,0,142.0,0,6,5,1,1,125.5,1,0,0,1,0,0,18,0,0,3,8,6,12.85714286,0,0,3,7,5,202,0,12.7,3.7,-1.7,0,0,1
0,0,3,10,1,0,125.0,0,0,8,4,7,114.9,1,0,0,1,0,1,19,0,0,1,4,5,13.375,0,0,1,2,4,113,0,11.1,0.6,2.02,0,1,1
0,0,0,8,1,0,126.0,0,6,5,3,7,123.9,0,0,0,1,0,0,19,0,0,2,4,5,13.29666667,0,0,3,4,5,430,0,11.1,0.6,2.02,0,1,1
0,2,1,6,1,0,115.0,0,6,8,7,8,116.4,1,0,0,1,0,0,21,0,0,1,5,5,11.375,0,0,1,4,4,286,0,16.2,0.3,-0.92,0,2,1
0,0,0,2,1,0,138.0,0,6,5,3,3,131.0,1,0,0,1,0,0,18,0,0,0,5,4,12.66666667,2,0,0,2,2,227,0,9.4,-0.8,-3.12,0,0,2
0,0,0,5,1,0,135.0,0,6,0,8,9,122.1,1,0,0,1,0,0,20,0,0,0,2,4,12.0,0,0,0,1,3,121,0,16.2,0.3,-0.92,0,1,1
0,2,1,8,1,0,127.0,0,2,2,1,10,118.8,1,0,0,1,1,0,19,0,0,2,5,5,12.93333333,0,0,2,2,4,359,0,16.2,0.3,-0.92,0,1,2
0,0,0,5,1,0,143.0,0,0,0,4,6,138.8,0,0,0,0,1,0,18,0,0,0,5,2,11.33333333,0,0,0,3,0,329,0,8.9,1.4,3.51,0,0,2
0,0,0,13,0,0,130.0,0,1,7,3,9,131.4,0,0,0,1,1,0,34,0,0,0,2,4,12.4,0,0,0,4,3,319,0,13.9,-0.3,0.79,1,3,1
0,6,0,5,1,0,140.0,0,8,7,6,6,122.9,0,0,0,1,0,0,55,0,0,0,6,0,10.0,0,0,0,3,0,81,2,16.2,0.3,-0.92,3,3,0
1,4,0,13,0,0,120.0,0,6,5,8,3,113.9,1,0,0,1,0,0,39,0,0,0,4,4,11.0,0,0,0,0,3,45,0,7.6,2.6,0.32,2,3,1
0,0,1,5,1,0,133.0,0,2,5,2,7,120.4,1,0,0,1,0,0,22,0,0,0,1,4,14.8,0,0,0,0,3,600,0,8.9,1.4,3.51,0,2,1
0,0,5,8,1,0,103.0,0,0,2,2,2,100.6,1,1,0,1,0,0,22,0,0,2,5,4,13.928,0,0,3,4,5,463,0,11.1,0.6,2.02,0,2,1
0,2,0,11,1,0,120.0,0,0,8,5,5,121.4,0,0,0,0,0,0,20,0,0,1,3,3,13.0,0,0,1,2,3,377,0,12.4,0.5,1.79,0,1,0
0,2,0,13,0,0,154.0,0,9,8,4,5,134.1,0,0,0,1,0,0,24,0,0,0,5,1,11.5,0,0,0,6,1,461,1,7.6,2.6,0.32,0,3,2
0,2,1,6,1,0,130.0,0,6,5,8,9,127.6,1,0,0,1,0,0,18,0,0,1,2,5,11.66666667,0,0,1,3,3,269,0,11.1,0.6,2.02,0,0,1
0,2,5,8,1,0,132.0,0,8,5,7,7,132.4,1,0,0,1,0,1,22,0,0,2,4,5,13.51666667,0,0,3,4,5,370,0,11.1,0.6,2.02,0,2,1
0,0,0,6,1,0,139.0,0,8,8,8,9,126.1,0,0,0,1,0,1,19,0,0,1,3,4,12.33333333,0,0,1,2,4,199,0,12.7,3.7,-1.7,0,1,1
0,4,0,7,1,0,130.0,0,6,8,8,7,113.5,0,0,0,1,0,1,24,0,0,1,2,5,13.66666667,0,0,1,1,4,439,0,12.4,0.5,1.79,0,3,1
0,0,0,8,1,0,139.0,0,8,8,6,6,121.3,1,0,0,1,0,1,19,0,0,3,6,5,11.83333333,0,0,3,5,4,69,0,9.4,-0.8,-3.12,0,1,2
